Feature,Normalized.Dispersion
chr1:9782-10672,-0.59892767008375
chr1:180547-181446,-1.0170623069513818
chr1:191121-191998,-0.21567345079155772
chr1:267553-268447,8.13613534786474
chr1:270906-271782,3.3080013695098387
chr1:273943-274789,0.12120742241405592
chr1:585753-586649,0.17792708421239478
chr1:629499-630394,3.9200412406460314
chr1:633580-634634,0.33309689843841506
chr1:778282-779198,-1.3601012783288617
chr1:816872-817778,2.2568462986166526
chr1:827063-827952,1.1558343506200803
chr1:832050-832936,-0.09950472531871668
chr1:844145-844994,4.673123177989495
chr1:857947-858636,-0.9393030561370671
chr1:865368-866274,-0.7493912441135244
chr1:869467-870372,-0.1833715600604114
chr1:876443-876987,-0.7518853864129368
chr1:877142-877901,-1.3645888555036383
chr1:898371-899190,9.11754045384135
chr1:904350-905199,-0.6680147014109103
chr1:920760-921655,-0.7856508805471515
chr1:923372-924236,0.1163562641569422
chr1:925349-926118,1.7239641279475197
chr1:940023-940935,-1.2633025871868189
chr1:958865-959757,-1.2804563694024012
chr1:960338-961106,1.601921735762665
chr1:966501-967334,15.312252856751131
chr1:975783-976720,0.8774725909024961
chr1:983867-984770,-0.8308511453222795
chr1:998643-999407,1.9280241537049532
chr1:999927-1000461,-0.6316609031067868
chr1:1000565-1001086,-1.1809262151094304
chr1:1001639-1002449,-0.8830534442075373
chr1:1008921-1009827,-0.3017787367667021
chr1:1012995-1013917,-0.5062417936951817
chr1:1019165-1019995,1.292458576100985
chr1:1032751-1033633,-0.40055276166131765
chr1:1040407-1041284,0.6056024371596245
chr1:1059178-1060044,-1.2222725142696726
chr1:1063672-1064536,0.06063655428944012
chr1:1068881-1069680,-0.01401004332074774
chr1:1074630-1075580,-1.55393694853274
chr1:1079424-1080314,-0.7627208189204552
chr1:1098950-1099783,-0.5176782639534175
chr1:1115804-1116705,0.36170064985962275
chr1:1121842-1122750,1.5367127486728391
chr1:1136303-1136894,-1.3364955869946389
chr1:1137025-1137827,-1.164501143588782
chr1:1143877-1144746,3.3705944554220384
chr1:1157382-1157956,1.4650895640821913
chr1:1171537-1172446,-1.3242874351939684
chr1:1173399-1174330,-0.333578358504598
chr1:1182517-1183343,-0.5555666552652275
chr1:1188821-1189686,4.193912106202785
chr1:1201054-1201929,-0.13109411352415684
chr1:1208037-1208684,-0.7298154172258545
chr1:1208803-1209299,-1.5057295318710193
chr1:1212679-1213404,-1.4399501814756348
chr1:1213539-1214161,-0.785163211476566
chr1:1219119-1219998,17.23830622318817
chr1:1231667-1232588,2.1603731996924487
chr1:1246401-1247217,-0.6122880910897958
chr1:1250578-1251426,2.2802357327871197
chr1:1273475-1274392,9.18517484472144
